# start - Mon May 28 01:20:03 2018
# beta: 0.016667
# n_ensamble / n_max: 1000.000000 / 40000.000000
# initial energy: 5845394.428599
#
# energy acceptance step
 5.845e+06 0.29758523 1.1e-07
 5.845e+06 0.29787234 8.7e-08
 5.845e+06 0.29836995 7.8e-08
 5.845e+06 0.29865534 6.3e-08
 5.845e+06 0.29915134 5.7e-08
 5.845e+06 0.29943503 4.6e-08
 5.845e+06 0.29992943 4.1e-08
 5.845e+06 0.30042313 3.7e-08
 5.845e+06 0.30091614 3.7e-08
 5.845e+06 0.30140845 3.7e-08
 5.845e+06 0.30190007 3.7e-08
 5.845e+06 0.30239100 3.7e-08
 5.845e+06 0.30288124 3.7e-08
 5.845e+06 0.30315789 3.7e-08
 5.845e+06 0.30364656 3.7e-08
 5.845e+06 0.30413455 3.7e-08
 5.845e+06 0.30440868 3.7e-08
 5.845e+06 0.30489510 3.7e-08
 5.845e+06 0.30538085 3.7e-08
 5.845e+06 0.30586592 3.7e-08
 5.845e+06 0.30635031 3.7e-08
 5.845e+06 0.30683403 3.7e-08
 5.845e+06 0.30731707 3.7e-08
 5.845e+06 0.30779944 3.7e-08
 5.845e+06 0.30828114 3.7e-08
 5.845e+06 0.30876217 3.7e-08
 5.845e+06 0.30881332 3.7e-08
 5.845e+06 0.30929265 3.7e-08
 5.845e+06 0.30977131 3.7e-08
 5.845e+06 0.31024931 3.7e-08
 5.845e+06 0.31072664 3.7e-08
 5.845e+06 0.31120332 3.7e-08
 5.845e+06 0.31146409 3.7e-08
 5.845e+06 0.31193927 3.7e-08
 5.845e+06 0.31241379 3.7e-08
 5.845e+06 0.31288766 3.7e-08
 5.845e+06 0.31336088 3.7e-08
 5.845e+06 0.31383345 3.7e-08
 5.845e+06 0.31430536 3.7e-08
 5.845e+06 0.31477663 3.7e-08
 5.845e+06 0.31503089 3.7e-08
 5.845e+06 0.31550069 3.7e-08
 5.845e+06 0.31596984 3.7e-08
 5.845e+06 0.31643836 3.7e-08
 5.845e+06 0.31690623 3.7e-08
 5.845e+06 0.31693989 3.7e-08
 5.845e+06 0.31740614 3.7e-08
 5.845e+06 0.31787176 3.7e-08
 5.845e+06 0.31833674 3.7e-08
 5.845e+06 0.31880109 3.7e-08
 5.845e+06 0.31926481 3.7e-08
 5.845e+06 0.31972789 3.7e-08
 5.845e+06 0.31997283 3.7e-08
 5.845e+06 0.32043449 3.7e-08
 5.845e+06 0.32067797 3.7e-08
 5.845e+06 0.32113821 3.7e-08
 5.845e+06 0.32159783 3.7e-08
 5.845e+06 0.32205683 3.7e-08
 5.845e+06 0.32251521 3.7e-08
 5.845e+06 0.32297297 3.7e-08
 5.845e+06 0.32343011 3.7e-08
 5.845e+06 0.32388664 3.7e-08
 5.845e+06 0.32434255 3.7e-08
 5.845e+06 0.32457912 3.7e-08
 5.845e+06 0.32503365 3.7e-08
 5.845e+06 0.32548756 3.7e-08
 5.845e+06 0.32572196 3.7e-08
 5.845e+06 0.32617450 3.7e-08
 5.845e+06 0.32662643 3.7e-08
 5.845e+06 0.32685867 3.7e-08
 5.845e+06 0.32687166 3.7e-08
 5.845e+06 0.32732131 3.7e-08
 5.845e+06 0.32777036 3.7e-08
 5.845e+06 0.32821881 3.7e-08
 5.845e+06 0.32866667 3.7e-08
 5.845e+06 0.32889481 3.7e-08
 5.845e+06 0.32934132 3.7e-08
 5.845e+06 0.32956811 3.7e-08
 5.845e+06 0.33001328 3.7e-08
 5.845e+06 0.33045786 3.7e-08
 5.845e+06 0.33090186 3.7e-08
 5.845e+06 0.33134526 3.7e-08
 5.845e+06 0.33178808 3.7e-08
 5.845e+06 0.33223031 3.7e-08
 5.845e+06 0.33267196 3.7e-08
 5.845e+06 0.33311302 3.7e-08
 5.845e+06 0.33355350 3.7e-08
 5.845e+06 0.33399340 3.7e-08
 5.845e+06 0.33421226 3.7e-08
 5.845e+06 0.33465086 3.7e-08
 5.845e+06 0.33508887 3.7e-08
 5.845e+06 0.33552632 3.7e-08
 5.845e+06 0.33596318 3.7e-08
 5.845e+06 0.33639947 3.7e-08
 5.845e+06 0.33683519 3.7e-08
 5.845e+06 0.33727034 3.7e-08
 5.845e+06 0.33770492 3.7e-08
 5.845e+06 0.33813893 3.7e-08
 5.845e+06 0.33857236 3.7e-08
 5.845e+06 0.33900524 3.7e-08
 5.845e+06 0.33943754 3.7e-08
 5.845e+06 0.33986928 3.7e-08
 5.845e+06 0.34030046 3.7e-08
 5.845e+06 0.34073107 3.7e-08
 5.845e+06 0.34116112 3.7e-08
 5.845e+06 0.34136808 3.7e-08
 5.845e+06 0.34179688 3.7e-08
 5.845e+06 0.34222511 3.7e-08
 5.845e+06 0.34265280 3.7e-08
 5.845e+06 0.34307992 3.7e-08
 5.845e+06 0.34350649 3.7e-08
 5.845e+06 0.34393251 3.7e-08
 5.845e+06 0.34413480 3.7e-08
 5.845e+06 0.34455959 3.7e-08
 5.845e+06 0.34498382 3.7e-08
 5.845e+06 0.34540750 3.7e-08
 5.845e+06 0.34583064 3.7e-08
 5.845e+06 0.34625323 3.7e-08
 5.845e+06 0.34667527 3.7e-08
 5.845e+06 0.34709677 3.7e-08
 5.845e+06 0.34751773 3.7e-08
 5.845e+06 0.34793814 3.7e-08
 5.845e+06 0.34835802 3.7e-08
 5.845e+06 0.34877735 3.7e-08
 5.845e+06 0.34919614 3.7e-08
 5.845e+06 0.34961440 3.7e-08
 5.845e+06 0.35003211 3.7e-08
 5.845e+06 0.35044929 3.7e-08
 5.845e+06 0.35086594 3.7e-08
 5.845e+06 0.35128205 3.7e-08
 5.845e+06 0.35169763 3.7e-08
 5.845e+06 0.35211268 3.7e-08
 5.845e+06 0.35252719 3.7e-08
 5.845e+06 0.35294118 3.7e-08
 5.845e+06 0.35312899 3.7e-08
 5.845e+06 0.35354180 3.7e-08
 5.845e+06 0.35395408 3.7e-08
 5.845e+06 0.35436584 3.7e-08
 5.845e+06 0.35477707 3.7e-08
 5.845e+06 0.35518778 3.7e-08
 5.845e+06 0.35559796 3.7e-08
 5.845e+06 0.35600763 3.7e-08
 5.845e+06 0.35641677 3.7e-08
 5.845e+06 0.35682540 3.7e-08
 5.845e+06 0.35700698 3.7e-08
 5.845e+06 0.35741445 3.7e-08
 5.845e+06 0.35782141 3.7e-08
 5.845e+06 0.35800127 3.7e-08
 5.845e+06 0.35840708 3.7e-08
 5.845e+06 0.35881238 3.7e-08
 5.845e+06 0.35921717 3.7e-08
 5.845e+06 0.35962145 3.7e-08
 5.845e+06 0.35979836 3.7e-08
 5.845e+06 0.36020151 3.7e-08
 5.845e+06 0.36060415 3.7e-08
 5.845e+06 0.36100629 3.7e-08
 5.845e+06 0.36140792 3.7e-08
 5.845e+06 0.36180905 3.7e-08
 5.845e+06 0.36220967 3.7e-08
 5.845e+06 0.36260979 3.7e-08
 5.845e+06 0.36300940 3.7e-08
 5.845e+06 0.36340852 3.7e-08
 5.845e+06 0.36335210 3.7e-08
 5.845e+06 0.36375000 3.7e-08
 5.845e+06 0.36414741 3.7e-08
 5.845e+06 0.36431691 3.7e-08
 5.845e+06 0.36471322 3.7e-08
 5.845e+06 0.36510903 3.7e-08
 5.845e+06 0.36550436 3.7e-08
 5.845e+06 0.36589919 3.7e-08
 5.845e+06 0.36629353 3.7e-08
 5.845e+06 0.36668738 3.7e-08
 5.845e+06 0.36708075 3.7e-08
 5.845e+06 0.36747362 3.7e-08
 5.845e+06 0.36786600 3.7e-08
 5.845e+06 0.36825790 3.7e-08
 5.845e+06 0.36864932 3.7e-08
 5.845e+06 0.36904025 3.7e-08
 5.845e+06 0.36943069 3.7e-08
 5.845e+06 0.36982066 3.7e-08
 5.845e+06 0.37021014 3.7e-08
 5.845e+06 0.37059914 3.7e-08
 5.845e+06 0.37098765 3.7e-08
 5.845e+06 0.37137569 3.7e-08
 5.845e+06 0.37176326 3.7e-08
 5.845e+06 0.37215034 3.7e-08
 5.845e+06 0.37253695 3.7e-08
 5.845e+06 0.37292308 3.7e-08
 5.845e+06 0.37330873 3.7e-08
 5.845e+06 0.37369392 3.7e-08
 5.845e+06 0.37407862 3.7e-08
 5.845e+06 0.37446286 3.7e-08
 5.845e+06 0.37484663 3.7e-08
 5.845e+06 0.37522992 3.7e-08
 5.845e+06 0.37538273 3.7e-08
 5.845e+06 0.37553517 3.7e-08
 5.845e+06 0.37568723 3.7e-08
 5.845e+06 0.37606838 3.7e-08
 5.845e+06 0.37644905 3.7e-08
 5.845e+06 0.37682927 3.7e-08
 5.845e+06 0.37697929 3.7e-08
 5.845e+06 0.37735849 3.7e-08
 5.845e+06 0.37773723 3.7e-08
 5.845e+06 0.37811550 3.7e-08
 5.845e+06 0.37803398 3.7e-08
 5.845e+06 0.37841116 3.7e-08
 5.845e+06 0.37878788 3.7e-08
 5.845e+06 0.37893462 3.7e-08
 5.845e+06 0.37931034 3.7e-08
 5.845e+06 0.37968561 3.7e-08
 5.845e+06 0.38006042 3.7e-08
 5.845e+06 0.38043478 3.7e-08
 5.845e+06 0.38080869 3.7e-08
 5.845e+06 0.38118215 3.7e-08
 5.845e+06 0.38155515 3.7e-08
 5.845e+06 0.38192771 3.7e-08
 5.845e+06 0.38229982 3.7e-08
 5.845e+06 0.38267148 3.7e-08
 5.845e+06 0.38304269 3.7e-08
 5.845e+06 0.38341346 3.7e-08
 5.845e+06 0.38378378 3.7e-08
 5.845e+06 0.38415366 3.7e-08
 5.845e+06 0.38452310 3.7e-08
 5.845e+06 0.38489209 3.7e-08
 5.845e+06 0.38526064 3.7e-08
 5.845e+06 0.38562874 3.7e-08
 5.845e+06 0.38599641 3.7e-08
 5.845e+06 0.38636364 3.7e-08
 5.845e+06 0.38649940 3.7e-08
 5.845e+06 0.38686567 3.7e-08
 5.845e+06 0.38723150 3.7e-08
 5.845e+06 0.38759690 3.7e-08
 5.845e+06 0.38796186 3.7e-08
 5.845e+06 0.38832638 3.7e-08
