# start - Sun May 27 21:49:34 2018
# beta: 0.016393
# n_ensamble / n_max: 8000.000000 / 40000.000000
# initial energy: 10580.532618
#
# energy acceptance step
      9231 0.46171171 0.92
      9232 0.46211553 0.92
      9058 0.46113602 0.92
      9111 0.46153846 0.92
      9180 0.46090841 0.92
      9389 0.46062407 0.92
      9450 0.46102450 0.92
      9429 0.46142433 0.92
      9350 0.46148148 0.92
      9368 0.46188009 0.92
      9281 0.46193644 0.92
      9272 0.46233383 0.92
      9313 0.46238938 0.92
      9318 0.46278556 0.92
      9311 0.46284032 0.92
      9263 0.46323529 0.92
      9275 0.46328928 0.92
      9281 0.46368305 0.92
      9233 0.46373626 0.92
      9138 0.46412884 0.92
      9121 0.46452085 0.92
      9055 0.46491228 0.92
      9154 0.46530314 0.92
      9144 0.46569343 0.92
      9173 0.46574344 0.92
      9214 0.46613256 0.92
      9306 0.46584302 0.92
      9351 0.46555475 0.92
      9295 0.46560463 0.92
      9296 0.46531792 0.92
      9187 0.46536797 0.92
      9119 0.46541787 0.92
      9129 0.46546763 0.92
      9091 0.46551724 0.92
      9155 0.46590093 0.92
      9121 0.46428571 0.92
      9244 0.46466809 0.92
      9300 0.46504993 0.92
      9312 0.46543122 0.92
      9195 0.46514936 0.92
      9222 0.46552950 0.92
      9276 0.46557842 0.92
      9188 0.46562721 0.92
      9145 0.46600567 0.92
      9285 0.46572438 0.92
      9283 0.46610169 0.92
      9295 0.46647848 0.92
      9302 0.46652572 0.92
      9260 0.46690141 0.92
      9244 0.46694796 0.92
      9113 0.46666667 0.92
      9154 0.46573427 0.92
      9101 0.46513250 0.92
      9108 0.46550523 0.92
      9151 0.46555324 0.92
      9325 0.46560111 0.92
      9342 0.46564885 0.92
      9410 0.46601942 0.92
      9447 0.46574394 0.92
      9434 0.46579129 0.92
      9380 0.46583851 0.92
      9401 0.46588560 0.92
      9374 0.46593255 0.92
      9306 0.46565934 0.92
      9309 0.46411483 0.92
      9270 0.46448087 0.92
      9194 0.46421268 0.92
      9121 0.46426140 0.92
      9060 0.46430999 0.92
      9061 0.46404342 0.92
      9143 0.46440678 0.92
      9182 0.46414073 0.92
      9328 0.46450304 0.92
      9236 0.46486486 0.92
      9301 0.46491228 0.92
      9224 0.46495957 0.92
      9180 0.46531987 0.92
      9144 0.46505376 0.92
      9108 0.46510067 0.92
      9039 0.46545942 0.92
      8987 0.46550569 0.92
      9043 0.46555184 0.92
      9020 0.46590909 0.92
      9080 0.46626587 0.92
      9039 0.46631087 0.92
      9296 0.46635576 0.92
      9246 0.46640053 0.92
      9295 0.46644518 0.92
      9308 0.46679947 0.92
      9300 0.46560847 0.92
      9353 0.46596167 0.92
      9213 0.46539222 0.92
      9170 0.46543779 0.92
      9187 0.46548323 0.92
      9163 0.46552856 0.92
      9096 0.46526868 0.92
      9044 0.46500981 0.92
      9153 0.46293888 0.92
      9226 0.46328785 0.92
      9215 0.46363636 0.92
      9159 0.46218487 0.92
      9177 0.46253230 0.92
      9205 0.46109325 0.92
      9254 0.46143959 0.92
      9286 0.46148909 0.92
      9412 0.46183451 0.92
      9398 0.46217949 0.92
      9369 0.46193218 0.92
      9303 0.46168582 0.92
      9297 0.46202936 0.92
      9294 0.46237245 0.92
      9276 0.45978467 0.92
      9354 0.46012658 0.92
      9340 0.46046806 0.92
      9445 0.46051800 0.92
      9526 0.46085859 0.92
      9594 0.46119874 0.92
      9532 0.46124764 0.92
      9515 0.46129641 0.92
      9588 0.46018809 0.92
      9633 0.46052632 0.92
      9638 0.46086412 0.92
      9625 0.46062500 0.92
      9634 0.46096190 0.92
      9789 0.46129838 0.92
      9931 0.46134663 0.92
      9890 0.46168224 0.92
     1e+04 0.46201743 0.92
      9914 0.46149068 0.92
      9927 0.46125232 0.92
      9907 0.46072975 0.92
      9964 0.46077826 0.92
      9968 0.46082665 0.92
      9808 0.46115906 0.92
      9873 0.46149107 0.92
      9830 0.46125461 0.92
      9846 0.46130221 0.92
      9840 0.46050214 0.92
 1.002e+04 0.45970696 0.92
 1.015e+04 0.45947593 0.92
 1.014e+04 0.45952526 0.92
 1.027e+04 0.45985401 0.92
 1.024e+04 0.45990279 0.92
 1.023e+04 0.45967253 0.92
 1.013e+04 0.46000000 0.92
 1.013e+04 0.46032707 0.92
 1.012e+04 0.46065375 0.92
 1.014e+04 0.46098004 0.92
 1.005e+04 0.46130593 0.92
      9993 0.46163142 0.92
      9978 0.46195652 0.92
      9891 0.46116797 0.92
      9858 0.46149218 0.92
      9842 0.46153846 0.92
      9879 0.46103118 0.92
      9803 0.46107784 0.92
      9709 0.46029851 0.92
      9714 0.46034586 0.92
      9666 0.46066746 0.92
      9649 0.46016647 0.92
      9642 0.45966785 0.92
      9648 0.45998814 0.92
      9739 0.45867769 0.92
      9788 0.45899705 0.92
      9731 0.45931604 0.92
      9847 0.45963465 0.92
      9981 0.45995289 0.92
 1.003e+04 0.45892019 0.92
 1.006e+04 0.45923754 0.92
 1.011e+04 0.45955451 0.92
 1.003e+04 0.45933294 0.92
      9927 0.45938048 0.92
 1.006e+04 0.45942790 0.92
 1.001e+04 0.45974329 0.92
      9988 0.46005831 0.92
      9953 0.46037296 0.92
 1.002e+04 0.46068725 0.92
      9836 0.46019756 0.92
      9789 0.46024376 0.92
      9796 0.46055684 0.92
      9880 0.46086957 0.92
      9914 0.46038172 0.92
      9922 0.46042750 0.92
      9940 0.45994236 0.92
      9903 0.45972382 0.92
      9976 0.45977011 0.92
      9791 0.46008041 0.92
      9823 0.46039036 0.92
      9685 0.46069994 0.92
      9674 0.46100917 0.92
      9683 0.46131805 0.92
      9811 0.46136234 0.92
      9680 0.46140652 0.92
      9513 0.46171429 0.92
      9598 0.46044394 0.92
      9586 0.46075085 0.92
      9521 0.46053379 0.92
      9567 0.46083995 0.92
      9531 0.46062323 0.92
      9519 0.46066780 0.92
      9408 0.46097285 0.92
      9378 0.46101695 0.92
      9363 0.45976365 0.92
      9287 0.45980888 0.92
      9306 0.45985401 0.92
      9362 0.46015713 0.92
      9389 0.45942921 0.92
      9395 0.45973154 0.92
      9397 0.45926339 0.92
      9396 0.45956497 0.92
      9293 0.45986622 0.92
      9106 0.45991091 0.92
      9104 0.45995551 0.92
      9143 0.46025570 0.92
      9195 0.46055556 0.92
      9269 0.46085508 0.92
      9198 0.46115427 0.92
      9250 0.46145313 0.92
      9269 0.46149584 0.92
      9415 0.46026490 0.92
      9462 0.46005510 0.92
      9323 0.46035242 0.92
      9175 0.46039604 0.92
      9089 0.45993414 0.92
      9010 0.45997807 0.92
      8924 0.46002191 0.92
      8828 0.46031746 0.92
      8828 0.46036085 0.92
      8799 0.46015284 0.92
      8831 0.46019629 0.92
      8859 0.46049046 0.92
      8931 0.46078431 0.92
      8863 0.46057640 0.92
      8847 0.46036916 0.92
      8845 0.45991333 0.92
      8744 0.45970795 0.92
      8720 0.45950324 0.92
      8796 0.45880452 0.92
      8802 0.45810956 0.92
      8875 0.45840043 0.92
      8934 0.45795394 0.92
      8965 0.45702082 0.92
      9037 0.45706667 0.92
      9174 0.45686901 0.92
      9169 0.45691489 0.92
      9123 0.45720362 0.92
      9135 0.45700637 0.92
      9164 0.45729443 0.92
      9114 0.45733969 0.92
      9109 0.45690111 0.92
      9173 0.45718816 0.92
      9202 0.45747491 0.92
      9255 0.45776135 0.92
      9252 0.45804749 0.92
      9226 0.45809172 0.92
      9280 0.45837724 0.92
      9181 0.45793901 0.92
      9246 0.45750262 0.92
      9198 0.45778710 0.92
      9217 0.45759162 0.92
      9290 0.45787546 0.92
      9343 0.45744125 0.92
      9404 0.45748565 0.92
      9222 0.45776851 0.92
      9277 0.45781250 0.92
      9286 0.45643154 0.92
      9227 0.45671332 0.92
      9189 0.45652174 0.92
      9034 0.45680290 0.92
      9151 0.45708376 0.92
      9089 0.45712810 0.92
      9139 0.45740836 0.92
      9071 0.45745229 0.92
      9180 0.45632066 0.92
      9422 0.45659990 0.92
      9220 0.45687885 0.92
      9272 0.45692308 0.92
      9302 0.45649949 0.92
      9234 0.45654397 0.92
      9140 0.45658836 0.92
      9231 0.45663265 0.92
      9221 0.45459158 0.92
      9378 0.45440729 0.92
      9436 0.45445344 0.92
      9414 0.45472939 0.92
      9370 0.45317221 0.92
      9488 0.45344741 0.92
      9482 0.45372233 0.92
      9525 0.45399698 0.92
      9525 0.45427136 0.92
      9491 0.45454545 0.92
      9504 0.45459107 0.92
      9478 0.45395395 0.92
      9571 0.45422711 0.92
      9699 0.45404595 0.92
      9700 0.45341305 0.92
      9664 0.45368526 0.92
      9505 0.45350572 0.92
      9523 0.45332671 0.92
      9482 0.45337302 0.92
      9525 0.45274617 0.92
      9500 0.45301682 0.92
      9587 0.45306324 0.92
      9575 0.45199409 0.92
      9529 0.45204132 0.92
      9484 0.45186640 0.92
      9419 0.45169201 0.92
      9455 0.45196078 0.92
      9332 0.45222930 0.92
      9222 0.45205479 0.92
      9223 0.45188080 0.92
      9223 0.45126706 0.92
      9281 0.45153434 0.92
      9308 0.45158151 0.92
      9319 0.45162859 0.92
      9231 0.45145631 0.92
      9264 0.45128454 0.92
      9261 0.45133172 0.92
      9276 0.45116054 0.92
      9249 0.45077220 0.92
      9273 0.45081967 0.92
      9119 0.45086705 0.92
      9073 0.45069745 0.92
      9032 0.45052834 0.92
      9086 0.45079213 0.92
      9098 0.45062320 0.92
      9197 0.45067050 0.92
      9024 0.45093346 0.92
      9083 0.45098039 0.92
      8984 0.45124283 0.92
      9039 0.45128940 0.92
      9003 0.45133588 0.92
      8988 0.45159752 0.92
      9026 0.45185891 0.92
      9083 0.45190476 0.92
      9090 0.45216564 0.92
      9119 0.45199620 0.92
      9140 0.45225653 0.92
      9104 0.45230185 0.92
      9157 0.45234708 0.92
      9162 0.45132325 0.92
      9175 0.45158243 0.92
      9247 0.45162813 0.92
      9273 0.45146089 0.92
      9324 0.45129412 0.92
      9172 0.45155221 0.92
      9296 0.45159774 0.92
      9313 0.45185533 0.92
      9310 0.45211268 0.92
      9316 0.45173383 0.92
      9117 0.45177903 0.92
      9086 0.45182413 0.92
      9103 0.45186916 0.92
      9139 0.45212518 0.92
      9129 0.45153774 0.92
      9126 0.45179320 0.92
      9158 0.45204842 0.92
      9239 0.45230340 0.92
